Name,Bed Size,Abbrev,Category
ALAMITOS WEST HEALTH CARE CENTER,194,ALAM,NURSINGHOME
ALTA GARDENS CARE CENTER,129,ALTA,NURSINGHOME
ANAHEIM CREST NURSING CENTER,83,ACNC,NURSINGHOME
ANAHEIM GENERAL HOSPITAL - BUENA PARK,31,AGBP,NURSINGHOME
ANAHEIM HEALTHCARE CENTER,250,ANHC,NURSINGHOME
ANAHEIM TERRACE CARE CENTER,99,ATCC,NURSINGHOME
BEACHSIDE NURSING CENTER,59,BEAC,NURSINGHOME
BRIGHTON GARDENS OF SAN JUAN CAPISTRANO,45,BGSJ,NURSINGHOME
BRIGHTON GARDENS OF YORBA LINDA,45,BGYL,NURSINGHOME
BUENA PARK NURSING CENTER,143,BPNC,NURSINGHOME
BUENA VISTA CARE CENTER,99,BVCC,NURSINGHOME
CAPISTRANO BEACH  CARE CENTER,93,CAPO,NURSINGHOME
CAREHOUSE CONVALESCENT HOSPITAL,174,CARE,NURSINGHOME
CAREMERIDIAN - COWAN HEIGHTS,9,CMCH,NURSINGHOME
CAREMERIDIAN - LA HABRA,,CMLH,NURSINGHOME
CAREMERIDIAN - SANTIAGO,12,CMSA,NURSINGHOME
CHAPMAN HARBOR SKILLED NURSING CENTER,99,CSNC,NURSINGHOME
COUNTRY VILLA LAGUNA HILLS HEALTHCARE CENTER,208,CVLH,NURSINGHOME
COUNTRY VILLA PLAZA CONVALESCENT CENTER,145,CVPL,NURSINGHOME
COUNTRY VILLA SEAL BEACH HEALTHCARE CENTER,198,CVSB,NURSINGHOME
COVENTRY COURT HEALTH CENTER,97,COCT,NURSINGHOME
COVINGTON CARE CENTER,24,COVI,NURSINGHOME
EVERGREEN FULLERTON HEALTHCARE,300,EVER,NURSINGHOME
EXTENDED CARE HOSPITAL OF WESTMINSTER,99,EXTW,NURSINGHOME
FLAGSHIP HEALTHCARE CENTER,167,FLAG,NURSINGHOME
FOUNTAIN CARE CENTER,169,FOCC,NURSINGHOME
FREEDOM VILLAGE HEALTHCARE CENTER,52,FREE,NURSINGHOME
FRENCH PARK CARE CENTER,202,FPCC,NURSINGHOME
GARDEN GROVE CONVALESCENT HOSPITAL,99,GGCH,NURSINGHOME
GARDEN PARK CARE CENTER,124,GPCC,NURSINGHOME
GORDON LANE CARE CENTER,99,GORD,NURSINGHOME
GREENFIELD CARE CENTER OF FULLERTON,99,GREE,NURSINGHOME
HARBOR VILLA CARE CENTER,99,HVCC,NURSINGHOME
HELPING HANDS OF WESTMINSTER,99,HELP,NURSINGHOME
HUNTINGTON BEACH HOSPITAL SUBACUTE UNIT,,HSUB,NURSINGHOME
HUNTINGTON VALLEY HEALTHCARE CENTER,144,HVAL,NURSINGHOME
KINDRED HEALTHCARE CENTER OF ORANGE,112,KINO,NURSINGHOME
KNOTT AVENUE CARE CENTER,99,KNOT,NURSINGHOME
LA HABRA CONVALESCENT HOSPITAL,86,LHAB,NURSINGHOME
LA PALMA NURSING CENTER,72,LPAL,NURSINGHOME
LAKE FOREST NURSING CENTER,175,LAKE,NURSINGHOME
LEISURE COURT NURSING CENTER,115,LEIS,NURSINGHOME
MANORCARE HEALTH SERVICES,151,MANO,NURSINGHOME
MESA VERDE CONVALESCENT HOSPITAL,80,MESA,NURSINGHOME
NEW ORANGE HILLS,145,NOW,NURSINGHOME
NEWPORT NURSING AND REHABILITATION CENTER,59,NNRC,NURSINGHOME
NEWPORT SUBACUTE HEALTHCARE CENTER,137,NSUB,NURSINGHOME
ORANGEGROVE REHABILITATION HOSPITAL,97,ORRH,NURSINGHOME
PACIFIC HAVEN HEALTHCARE CENTER,99,PACI,NURSINGHOME
PALM TERRACE HEALTHCARE AND REHAB CENTER,99,PALM,NURSINGHOME
PARK ANAHEIM HEALTHCARE CENTER,115,PANA,NURSINGHOME
PARK REGENCY CARE CENTER,99,PREG,NURSINGHOME
PARK SUPERIOR HEALTHCARE,96,PSUP,NURSINGHOME
PARK VISTA AT MORNINGSIDE,99,PVIS,NURSINGHOME
PARKVIEW HEALTHCARE CENTER,41,PKVW,NURSINGHOME
QUAKER GARDENS,58,QUAK,NURSINGHOME
REGENTS POINT - WINDCREST,59,RGNT,NURSINGHOME
ROYALE HEALTH CARE CENTER,255,ROYL,NURSINGHOME
SEA CLIFF HEALTHCARE CENTER,182,SEAC,NURSINGHOME
ST. EDNA SUBACUTE AND REHABILITATION CENTER,144,EDNA,NURSINGHOME
ST. ELIZABETH HEALTHCARE & REHAB CENTER,59,ELIZ,NURSINGHOME
STANLEY HEALTHCARE CENTER,30,STAN,NURSINGHOME
SUN MAR NURSING CENTER,69,SNMR,NURSINGHOME
SUNBRIDGE CARE AND REHABILITATION FOR TUSTIN,99,SCRT,NURSINGHOME
TERRACE VIEW CARE CENTER,59,TERR,NURSINGHOME
TOWN AND COUNTRY MANOR,95,TOWN,NURSINGHOME
VICTORIA HEALTHCARE CENTER,79,VICT,NURSINGHOME
VILLA VALENCIA HEALTH CARE CENTER,59,VIVA,NURSINGHOME
WALNUT MANOR CARE CENTER,99,WLNT,NURSINGHOME
WEST ANAHEIM EXTENDED CARE,138,WAEC,NURSINGHOME
WINDSOR GARDENS CARE CENTER OF FULLERTON,99,WINF,NURSINGHOME
WINDSOR GARDENS CONVALESCENT CENTER OF ANAHEIM,154,WINA,NURSINGHOME
