Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS
AGEN,3240,6.500617284,13.9786367102,1.5494952459,0.6820803339
AMMC,14615,4.8519329456,4.1752657456,1.3561082314,0.6255258252
CHAP,2341,6.6228107646,9.8787076109,1.5700961529,0.734253233
COAS,4808,6.1179284526,8.3104688911,1.527244877,0.6569140174
COLL,3531,9.8844519966,17.9861203681,1.7753559051,0.8502337642
FVRH,14706,5.4782401741,5.0427585973,1.4773575665,0.6152864455
GGMC,7033,4.4813024314,4.0824444356,1.313358123,0.5523575017
HBHO,4616,4.8037261698,5.7944228408,1.2977897612,0.6629682297
HOAG,27151,4.9489153254,5.043304719,1.3741212547,0.6020255606
HSOU,933,12.2593783494,5.8878312022,2.3927479683,0.4968523256
IRVR,9787,3.9252069071,3.1705272667,1.1989319306,0.5368414111
KAIA,12941,4.5498802256,6.1225320064,1.2596287308,0.6344551958
KINB,425,29.72,20.9619871592,3.1940098527,0.6518322301
KINW,1067,33.167760075,42.4712790157,3.1571798586,0.798463254
LAMC,9391,5.4428708338,5.6176079125,1.4334944246,0.6504608162
LPIH,3945,4.7989860583,6.4981584992,1.3002646765,0.6389466014
MISS,17257,4.9772845802,5.6435264913,1.3452479222,0.6479353299
OCMM,12918,4.4495277907,3.9670645319,1.3048819755,0.5627457065
PLAC,3933,4.4958047292,3.9403351757,1.3141952371,0.5776174717
SCLE,2701,4.3624583488,3.4137062121,1.2800110896,0.5870433639
SCOA,4616,5.6564124783,8.5380680929,1.4472288561,0.6781255563
SJOS,21324,4.9872444194,4.9958597053,1.3953061232,0.5847471959
SJUD,16174,5.772227031,5.9291812069,1.4941801916,0.659781319
SMMC,15327,4.7465909832,4.4461174398,1.3593729091,0.5745992497
TUSH,1429,4.2078376487,6.6734177417,1.180518682,0.596941534
UCIM,14031,6.6288218944,9.2316698404,1.4938707037,0.7975749284
WAMC,6968,5.403989667,5.6775688597,1.4089029956,0.6927221292
WMCA,7863,6.9420068676,14.8837330475,1.5123039216,0.7386101508
WMCS,10904,5.5938187821,6.5750454683,1.4174006076,0.7016946127
