abbrev,Average2007Census
ACNC,78
AGBP,27
ALAM,152
ALTA,105
ANHC,193
ATCC,73
BEAC,52
BGSJ,30
BGYL,42
BPNC,114
BVCC,92
CAPO,80
CARE,140
CMCH,9
CMLH,10
CMSA ,9
COCT,80
COVI,25
CSNC,24
CVLH,161
CVPL,108
CVSB,170
EDNA,114
ELIZ,46
EVER,107
EXTW,89
FLAG,108
FOCC,120
FPCC,168
FREE,42
GGCH,90
GORD,86
GPCC,111
GREE,72
HELP,80
HVAL,120
HVCC,90
KINO,96
KNOT,90
LAKE,147
LEIS,105
LHAB,75
LPAL,59
MANO,123
MESA,59
NEWO,108
NNRC,57
NSUB,76
ORRH,86
PACI,85
PALM,85
PANA,98
PKVW,30
PREG,76
PSUP,85
PVIS,90
QUAK,52
RGNT,46
ROYL,214
SCRT,87
SEAC,160
SNMR,64
STAN,25
TERR,51
TOWN,92
VICT,68
VIVA,47
WAEC,124
WINA,127
WINF,81
WLNT,73
