abbrev,k,mu,sigma,lmda,nllPerSamp,nsamples
ACNC,0.51102291689636825,3.7034101541184246,0.63659982399166781,0.0015994266446159628,6.449681938695317,401
AGBP,0.53309835006033057,3.9358519626827788,1.2010839292406494,0.0013656693063995183,6.7688736535076801,109
ALAM,0.63661491640760015,3.3323567955055542,0.65212527158564326,0.0016858322688351273,5.8803669009730264,1379
ALTA,0.57186438278836482,3.7039861620096373,0.80722488927896097,0.001518465095007745,6.3977309728210692,591
ANHC,0.7215731228789094,3.1474141119162415,0.57225944679871543,0.001460791548669908,5.4382341344046754,1662
ATCC,0.74991520405273715,3.1698969804208579,0.42700275247178043,0.0020942450307501804,5.0177860324824071,1033
BEAC,0.81533265480559591,3.3255955506854571,0.49114960558895165,0.0018367759600036583,4.9968662220017572,571
BGSJ,0.85745324443456206,3.2332226535965436,0.45799072326280432,0.002103224649689042,4.6464508741053754,650
BGYL,0.8561213128618006,3.6196266050594086,0.64797719958309141,0.0016337111425714372,5.290124006373274,526
BPNC,0.58943781366737202,3.3537465414594387,0.60452196927149404,0.0020629218077953841,5.9034967427156984,915
BVCC,0.40608836244146412,3.5334898659964495,0.69611861473479786,0.0013560398269243754,6.8070821336820906,407
CAPO,0.46463368672037814,2.9710620006574922,0.33035571552135085,0.0022923644206573075,5.8612847689028271,571
CARE,0.74011523431348392,3.2036792594189691,0.38979866506086785,0.001965445492482868,5.0467512534431531,1638
CMSA,0.44607016373611552,4.0772700890305051,1.3062245836642294,0.0010168489555123638,7.2157384795529325,190
COCT,0.76835975965952108,3.8036989622153179,0.74453978933659415,0.0015494107589156675,5.8300524350605913,665
COVI,0.77943041833519433,3.0775069438181464,0.30275958790162599,0.0052603109510387294,4.3200288993747735,644
CSNC,0.45515104190374039,3.1913405006631459,0.46003684770695658,0.0019621690993495669,6.1865990409436717,470
CVLH,0.67447781816565078,3.0783964527765479,0.38439573109589298,0.0022344683111929133,5.1901344634265367,1884
CVPL,0.48108372570359553,3.4094341524660239,0.63705400878205343,0.0020550852426285838,6.2581217828427604,670
CVSB,0.64969622049740949,3.2257360008453575,0.57159222517289188,0.0018175005997347121,5.6767696061212947,1717
