From,To,Seconds,Meters
CSNC,CSNC,0,0
CSNC,HOAG,1622,29501
CSNC,AGEN,1078,11096
CSNC,LPAL,858,9109
CSNC,EXTW,786,10804
CSNC,PVIS,1333,19695
CSNC,SCLE,2161,50810
CSNC,GREE,1334,14971
CSNC,GGMC,315,2284
CSNC,HVCC,659,4321
CSNC,UCIM,333,2684
CSNC,MANO,903,9324
CSNC,COVI,2034,38559
CSNC,WAMC,1110,11235
CSNC,EDNA,513,4262
CSNC,LHAB,1596,23619
CSNC,PALM,1576,29775
CSNC,HSOU,875,10571
CSNC,WAEC,1106,11331
CSNC,BVCC,461,4780
CSNC,TOWN,616,6736
CSNC,SCOA,2473,49569
CSNC,CVSB,1157,19582
CSNC,LAKE,1668,31193
CSNC,LPIH,1131,19051
CSNC,TUSH,927,12428
CSNC,PACI,389,2608
CSNC,BGSJ,2045,44702
CSNC,HELP,788,10767
CSNC,BGYL,1507,24113
CSNC,COLL,1260,25422
CSNC,GGCH,702,6541
CSNC,CMIS,1728,34499
CSNC,KINB,1273,21683
CSNC,KINO,666,8089
CSNC,STAN,1044,14420
CSNC,KINW,784,10748
CSNC,CVLH,1530,30434
CSNC,SJUD,1475,15189
CSNC,FPCC,656,7864
CSNC,ANHC,1094,11591
CSNC,FLAG,1586,28583
CSNC,CAPO,2242,51808
CSNC,GORD,1054,15532
CSNC,ATCC,1270,13243
CSNC,FVRH,1082,11338
CSNC,MISS,1802,38380
CSNC,ROYL,1265,12117
CSNC,LEIS,914,9107
CSNC,ACNC,1081,11312
CSNC,ALTA,323,2369
CSNC,NNRC,1524,28198
CSNC,IRVR,1353,23282
CSNC,WINA,1087,11580
CSNC,NSUB,1385,27231
CSNC,ALAM,1159,22934
CSNC,CMSA,1356,13504
CSNC,CHAP,739,10616
CSNC,KNOT,1242,13258
CSNC,HBRI,803,9825
CSNC,OCMM,1282,13083
CSNC,HSUB,1355,17070
CSNC,CMCH,1123,14937
CSNC,COCT,298,3071
CSNC,WLNT,495,4324
CSNC,SMMC,1608,30572
CSNC,FOCC,522,5488
CSNC,KAIA,1103,17858
CSNC,RGNT,1520,27259
CSNC,HVAL,1393,17396
CSNC,FREE,1613,30046
CSNC,QUAK,676,6508
CSNC,CARE,776,10137
CSNC,VIVA,1548,30321
CSNC,SCRT,807,10316
CSNC,PREG,1555,23047
CSNC,SNMR,588,6243
CSNC,EVER,1378,21125
CSNC,NEWO,994,13370
CSNC,WMCS,863,10790
CSNC,ORRH,257,1895
CSNC,SEAC,1488,18598
CSNC,WMCA,613,4964
CSNC,ELIZ,1416,21868
CSNC,PSUP,1604,28830
CSNC,CHOC,617,6092
CSNC,COAS,1280,12187
CSNC,CVPL,1294,12432
CSNC,TERR,1349,20966
CSNC,CMLH,1755,25318
CSNC,PANA,1092,11632
CSNC,GPCC,285,2331
CSNC,SJOS,767,5752
CSNC,PLAC,1271,19251
CSNC,HBHO,1355,17070
CSNC,MESA,1486,27715
CSNC,BEAC,1466,19092
CSNC,LAMC,1168,22707
CSNC,BPNC,1129,16795
CSNC,PKVW,931,8316
CSNC,WINF,1196,17713
CSNC,AMMC,905,9908
CSNC,VICT,1282,25596
CSNC,AGBP,1013,15808
HOAG,CSNC,1676,27377
HOAG,HOAG,0,0
HOAG,AGEN,1925,32549
HOAG,LPAL,1780,32736
HOAG,EXTW,1392,23147
HOAG,PVIS,2099,39395
HOAG,SCLE,1914,45127
HOAG,GREE,2176,41225
HOAG,GGMC,1471,26507
HOAG,HVCC,1552,29101
HOAG,UCIM,1382,24697
HOAG,MANO,1146,14795
HOAG,ORRH,1545,27019
HOAG,WAMC,2036,30165
HOAG,EDNA,1572,18980
HOAG,LHAB,2518,47247
HOAG,PALM,1481,26757
HOAG,HSOU,1025,17795
HOAG,WAEC,2033,30262
HOAG,BVCC,1890,34491
HOAG,TOWN,1332,22599
HOAG,SCOA,1963,23759
HOAG,CVSB,1662,22799
HOAG,LAKE,1609,29257
HOAG,LPIH,2053,42678
HOAG,TUSH,996,16226
HOAG,NNRC,306,1833
HOAG,BGSJ,1798,39019
HOAG,HELP,1455,23528
HOAG,BGYL,1957,38289
HOAG,COLL,552,4762
HOAG,GGCH,1587,23637
HOAG,CMIS,1672,32602
HOAG,KINB,2039,41383
HOAG,KINO,1227,23930
HOAG,STAN,1296,24664
HOAG,KINW,1477,23648
HOAG,CVLH,1474,28537
HOAG,FPCC,1284,21255
HOAG,ANHC,2020,30521
HOAG,FLAG,237,1014
HOAG,CAPO,1995,46125
HOAG,GORD,1820,35232
HOAG,ATCC,2011,33409
HOAG,FVRH,1034,15685
HOAG,MISS,1744,34015
HOAG,ROYL,1146,13228
HOAG,LEIS,1836,32734
HOAG,ACNC,2007,30242
HOAG,ALTA,1506,26633
HOAG,PACI,1526,27708
HOAG,IRVR,1182,20057
HOAG,WINA,1873,32068
HOAG,NSUB,514,3814
HOAG,ALAM,1686,35490
HOAG,PLAC,1960,34297
HOAG,CHAP,1215,22380
HOAG,KNOT,1983,33423
HOAG,HBHO,1042,12740
HOAG,HBRI,1409,23667
HOAG,OCMM,927,11112
HOAG,MESA,435,2964
HOAG,CMCH,1471,24353
HOAG,COCT,1871,29903
HOAG,WLNT,1695,29915
HOAG,SMMC,1552,28674
HOAG,FOCC,1311,24287
HOAG,KAIA,1558,30676
HOAG,RGNT,1074,14471
HOAG,HVAL,1080,13066
HOAG,FREE,1554,28110
HOAG,QUAK,1714,26689
HOAG,CARE,1216,19647
HOAG,VIVA,1492,28423
HOAG,SCRT,1097,18482
HOAG,PREG,2477,46674
HOAG,SNMR,1729,33011
HOAG,EVER,2145,40825
HOAG,NEWO,1470,25134
HOAG,WMCS,1121,18486
HOAG,COVI,1556,30146
HOAG,SEAC,914,10915
HOAG,WMCA,1645,29840
HOAG,ELIZ,2182,41568
HOAG,PSUP,250,1118
HOAG,CHOC,1293,24262
HOAG,COAS,1094,12717
HOAG,CVPL,1064,12554
HOAG,TERR,2115,40666
HOAG,CMLH,2677,48946
HOAG,PANA,1866,32017
HOAG,GPCC,1411,26114
HOAG,SJOS,1438,24661
HOAG,CMSA,858,11434
HOAG,SJUD,2238,40103
HOAG,HSUB,1042,12740
HOAG,BEAC,877,10771
HOAG,LAMC,1696,35263
HOAG,BPNC,2051,40423
HOAG,PKVW,1708,31695
HOAG,WINF,1990,39635
HOAG,AMMC,1827,33535
HOAG,VICT,574,4936
HOAG,AGBP,1935,39435
AGEN,CSNC,1061,11082
AGEN,HOAG,1872,32075
AGEN,AGEN,0,0
AGEN,LPAL,1022,10271
AGEN,EXTW,710,7031
AGEN,PVIS,1467,18353
AGEN,SCLE,2681,62500
AGEN,GREE,1249,15999
AGEN,GGMC,1124,16100
AGEN,HVCC,1062,10528
AGEN,UCIM,1104,18776
AGEN,MANO,1412,19717
AGEN,COVI,2323,47518
AGEN,WAMC,279,2352
AGEN,EDNA,1109,16228
AGEN,LHAB,1382,15347
AGEN,PALM,2191,42489
AGEN,HSOU,1441,25314
AGEN,WAEC,241,2185
AGEN,BVCC,741,6824
AGEN,TOWN,1239,19750
AGEN,SCOA,2921,53309
AGEN,CVSB,1103,13325
AGEN,LAKE,2319,44989
AGEN,LPIH,649,6430
AGEN,TUSH,1594,28266
AGEN,PACI,966,13504
AGEN,BGSJ,2565,56391
AGEN,HELP,668,6718
AGEN,BGYL,1774,31737
AGEN,COLL,1510,27996
AGEN,GGCH,802,7908
AGEN,CMIS,2382,48333
AGEN,KINB,1542,27624
AGEN,KINO,1289,21103
AGEN,STAN,802,8484
AGEN,KINW,668,6788
AGEN,CVLH,2184,44269
AGEN,SJUD,1389,16217
AGEN,FPCC,1323,23702
AGEN,ANHC,337,2870
AGEN,FLAG,1836,31157
AGEN,CAPO,2762,63497
AGEN,GORD,1323,21474
AGEN,ATCC,264,2120
AGEN,FVRH,1413,20489
AGEN,MISS,2456,52214
AGEN,ROYL,1783,23935
AGEN,LEIS,1100,10532
AGEN,ACNC,210,1934
AGEN,ALTA,1159,16226
AGEN,NNRC,1774,30772
AGEN,IRVR,1892,35789
AGEN,WINA,76,481
AGEN,NSUB,1644,25180
AGEN,ALAM,693,7236
AGEN,CMSA,1395,22814
AGEN,CHAP,1362,23630
AGEN,KNOT,236,2135
AGEN,HBRI,1426,22839
AGEN,OCMM,1209,17811
AGEN,HSUB,1355,13864
AGEN,CMCH,1747,27951
AGEN,COCT,855,8385
AGEN,WLNT,765,7191
AGEN,SMMC,2261,44406
AGEN,FOCC,1187,18392
AGEN,KAIA,1375,24123
AGEN,RGNT,1841,31844
AGEN,HVAL,1393,14190
AGEN,FREE,2264,43841
AGEN,QUAK,536,5088
AGEN,CARE,1400,23150
AGEN,VIVA,2202,44155
AGEN,SCRT,1474,26154
AGEN,PREG,1341,14775
AGEN,SNMR,747,6887
AGEN,EVER,1452,18181
AGEN,NEWO,1617,26384
AGEN,WMCS,1442,24564
AGEN,ORRH,1097,14845
AGEN,SEAC,1489,15392
AGEN,WMCA,1162,11518
AGEN,ELIZ,1378,17205
AGEN,PSUP,1854,31404
AGEN,CHOC,1283,18995
AGEN,COAS,1766,26956
AGEN,CVPL,1737,26793
AGEN,TERR,1423,18022
AGEN,CMLH,1541,17047
AGEN,PANA,81,533
AGEN,GPCC,1133,16015
AGEN,SJOS,1382,19278
AGEN,PLAC,1539,25192
AGEN,HBHO,1355,13864
AGEN,MESA,1736,30289
AGEN,BEAC,1466,15885
AGEN,LAMC,737,7562
AGEN,BPNC,302,2934
AGEN,PKVW,1218,11980
AGEN,WINF,1182,15075
AGEN,AMMC,1052,10132
AGEN,VICT,1532,28170
AGEN,AGBP,798,7536
LPAL,CSNC,881,11173
LPAL,HOAG,1808,35704
LPAL,AGEN,1047,10271
LPAL,LPAL,0,0
LPAL,EXTW,1226,22785
LPAL,PVIS,854,7386
LPAL,SCLE,2347,57013
LPAL,GREE,684,6632
LPAL,GGMC,844,13501
LPAL,HVCC,453,3688
LPAL,UCIM,623,9142
LPAL,MANO,1443,22273
LPAL,ORRH,918,14013
LPAL,WAMC,885,8111
LPAL,EDNA,971,14391
LPAL,LHAB,1115,12090
LPAL,PALM,1762,35978
LPAL,HSOU,1061,16774
LPAL,WAEC,917,8495
LPAL,BVCC,588,4515
LPAL,TOWN,802,12940
LPAL,SCOA,2659,55772
LPAL,CVSB,1596,31564
LPAL,LAKE,1853,37396
LPAL,LPIH,801,12031
LPAL,TUSH,1113,18631
LPAL,NNRC,1710,34401
LPAL,BGSJ,2231,50905
LPAL,HELP,1227,22748
LPAL,BGYL,1254,20836
LPAL,COLL,1446,31625
LPAL,GGCH,1262,12638
LPAL,CMIS,1914,40702
LPAL,KINB,1022,16724
LPAL,KINO,852,14292
LPAL,STAN,1484,26401
LPAL,KINW,1223,22729
LPAL,CVLH,1715,36637
LPAL,FPCC,842,14067
LPAL,ANHC,861,7966
LPAL,FLAG,1772,34786
LPAL,CAPO,2427,58011
LPAL,GORD,831,6461
LPAL,ATCC,893,11485
LPAL,FVRH,1539,22236
LPAL,MISS,1988,44583
LPAL,ROYL,1549,18603
LPAL,LEIS,140,389
LPAL,ACNC,892,8475
LPAL,ALTA,879,13627
LPAL,PACI,899,14702
LPAL,IRVR,1539,29485
LPAL,WINA,1028,10373
LPAL,NSUB,1571,33434
LPAL,ALAM,1448,19359
LPAL,PLAC,1020,14292
LPAL,CHAP,925,16819
LPAL,KNOT,867,11239
LPAL,HBHO,1794,29052
LPAL,HBRI,988,16029
LPAL,OCMM,1751,25760
LPAL,MESA,1672,33918
LPAL,CMCH,1309,21141
LPAL,COCT,730,6251
LPAL,WLNT,500,3862
LPAL,SMMC,1793,36775
LPAL,FOCC,707,11691
LPAL,KAIA,855,13223
LPAL,RGNT,1706,33462
LPAL,HVAL,1832,29378
LPAL,FREE,1798,36249
LPAL,QUAK,1175,11773
LPAL,CARE,962,16340
LPAL,VIVA,1734,36524
LPAL,SCRT,993,16519
LPAL,PREG,1156,12668
LPAL,SNMR,427,3035
LPAL,EVER,887,8814
LPAL,NEWO,1179,19573
LPAL,WMCS,1049,16993
LPAL,COVI,2220,44762
LPAL,SEAC,1928,30579
LPAL,WMCA,570,4768
LPAL,ELIZ,816,7171
LPAL,PSUP,1790,35033
LPAL,CHOC,803,12295
LPAL,COAS,1555,18672
LPAL,CVPL,1471,26458
LPAL,TERR,858,8655
LPAL,CMLH,1340,14198
LPAL,PANA,1032,10425
LPAL,GPCC,784,13108
LPAL,SJOS,902,12577
LPAL,CMSA,1511,30407
LPAL,SJUD,779,6292
