Abbrev,Dsch_ReAd_N,Dsch_Com_N,Dsch_NH_Com_N,Dsch_NH_ReAd_N,Dsch_ReAd_Pct,Dsch_Com_Pct,Dsch_NH_Com_Pct,Dsch_NH_ReAd_Pct
AGEN,276,277,45,115,38.7096774194,38.8499298738,6.3113604488,16.1290322581
AMMC,3817,5922,689,997,33.409190372,51.8336980306,6.0306345733,8.7264770241
CHAP,612,993,105,147,32.9563812601,53.4733441034,5.6542810985,7.915993538
COAS,759,1261,175,392,29.3390027058,48.743718593,6.7645921917,15.1526865095
COLL,1005,1785,64,35,34.7871235722,61.7860851506,2.2152994116,1.2114918657
FVRH,4445,8171,806,1428,29.9326599327,55.0235690236,5.4276094276,9.6161616162
GGMC,1370,2202,384,547,30.42416167,48.9007328448,8.5276482345,12.1474572507
HBHO,1479,1209,187,373,45.5357142857,37.2229064039,5.7573891626,11.4839901478
HOAG,6318,15604,1033,1220,26.1344364012,64.5460186143,4.2730093071,5.0465356774
HSOU,371,615,87,76,32.2889469104,53.5248041775,7.5718015666,6.6144473455
KAIA,4965,15171,774,712,22.9627231523,70.1646471187,3.5796873555,3.2929423735
KINB,323,208,73,97,46.0770328103,29.6718972896,10.4136947218,13.8373751783
KINW,224,350,151,298,21.8963831867,34.2130987292,14.7605083089,29.1300097752
LAMC,2182,5335,1052,872,23.111958479,56.5088444021,11.142887406,9.236309713
LPIH,1010,1482,378,532,29.6884185773,43.5626102293,11.1111111111,15.6378600823
MISS,4982,9490,595,805,31.388608871,59.7908266129,3.7487399194,5.0718245968
OCMM,3479,6887,615,789,29.5581988105,58.5131690739,5.2251486831,6.7034834325
PLAC,1123,1902,321,292,30.8686091259,52.281473337,8.8235294118,8.0263881253
SCOA,1664,2204,119,118,40.5359317905,53.6906211937,2.8989037759,2.87454324
SJOS,5239,11365,721,900,28.7462277092,62.3593964335,3.9561042524,4.9382716049
SJUD,5140,8017,664,747,35.282811642,55.0315760571,4.5579352004,5.1276771005
SMMC,4237,8911,1044,1255,27.4292742927,57.6875768758,6.7585939017,8.1245549298
TUSH,186,159,6,8,51.8105849582,44.2896935933,1.6713091922,2.2284122563
UCIM,5051,7399,351,524,37.9061913696,55.5272045028,2.6341463415,3.9324577861
WAMC,1947,2085,581,1048,34.3932167462,36.8309485957,10.2632043809,18.5126302773
WMCA,1952,2790,133,180,38.6152324431,55.1928783383,2.6310583581,3.5608308605
WMCS,1562,3552,269,431,26.8661850705,61.0939112487,4.6267629859,7.4131406949
